41,1867.82,2002.648,1890.659,1843.991,1842.636,1855.295
42,267.183,258.33,237.541,238.764,237.109,240.013
43,514.881,535.799,588.372,550.55,546.041,565.033
44,117.912,121.036,118.923,115.794,109.252,127.96
45,114.7,117.63,106.31,107.366,108.816,107.537
46,311.759,347.741,304.69,316.287,313.211,313.683
47,595110.707,,,,,
48,526.182,490.664,481.71,487.767,478.615,482.067
49,66.307,55.836,54.108,54.025,54.623,53.668
50,48.391,42.801,42.657,42.616,42.903,42.183
51,3374.114,3414.628,3364.069,3414.971,3456.608,3430.164
52,279.396,268.13,263.918,270.195,271.827,272.225
53,342.649,342.901,337.407,332.72,334.597,334.207
54,645.01,649.941,646.768,656.478,642.417,642.072
55,36.778,22.744,22.144,21.746,21.556,21.17
56,602.568,641.694,601.76,637.249,583.158,583.736
57,255961.414,257525.099,261984.142,275683.872,271106.432,291919.314
58,1049.739,981.019,1000.379,983.766,1014.173,1180.974
59,1934.319,1753.289,1695.309,1690.42,1910.49,1718.3
60,1676.572,1811.366,1729.543,1663.603,1683.536,1615.09
61,9.24,8.359,8.27,8.232,8.089,7.598
62,332.202,300.233,337.083,274.551,290.79,328.246
63,401.968,391.04,351.12,381.962,412.214,385.383
64,573.3,548.523,669.108,626.349,589.299,508.405
65,1423.998,1536.625,2130.37,1871.283,1671.173,2048.911
66,585.02,373.039,447.922,421.294,376.978,417.518
67,8613.277,8511.119,8309.603,8555.682,8979.852,8590.996
68,5.478,5.568,4.761,4.577,5.276,4.641
69,475.014,479.506,622.512,597.332,479.193,510.714
70,959.06,862.044,877.679,841.226,875.198,888.793
71,415.424,445.23,463.423,517.42,505.591,486.252
72,1360.347,310.908,353.303,281.176,343.374,365.57
73,6.442,6.284,4.986,4.917,5.58,4.99
74,1113146.743,,,,,
75,3023.108,3086.041,2786.66,3144.6,3073.428,2853.609
76,905.435,935.746,1012.477,907.294,936.95,890.328
77,477.346,609.019,481.015,622.451,516.365,536.332
78,18019.348,18865.013,19682.221,19264.412,19332.92,17932.282
79,424.095,447.876,418.069,395.411,427.428,422.129
80,624.188,582.84,599.407,565.739,585.957,675.778
81,74886.314,72726.81,69197.641,70564.525,68464.859,72395.292
82,47.208,33.812,31.829,30.7,30.367,30.859
83,199.923,185.762,184.118,182.98,184.111,187.804
84,71.845,79.422,112.557,93.504,91.63,90.007
85,153.317,131.862,116.252,111.504,99.239,93.492
86,294.491,383.756,419.373,417.624,370.645,293.562
87,4810.319,4307.617,4195.527,3820.982,3706.8,3825.194
88,2759.453,2310.208,2300.927,2438.829,2410.201,2296.044
89,432.672,412.251,417.953,423.398,412.89,431.585
90,138.516,135.591,143.396,180.319,176.401,162.247
91,55.11,40.341,40.206,40.139,40.363,43.718
92,78.545,70.087,70.18,73.429,70.245,70.75
